[190.  682.5],[3.1920000e+03 9.8245614e-01]
[401.03065371 684.72813674],[5.96660681e+03 1.28502935e+00]
[402.33472938 684.63983148],[5.83401184e+03 1.28165980e+00]
[403.7404965  685.92260802],[5.73915438e+03 1.27076694e+00]
[404.85692382 686.39814902],[5.90786032e+03 1.26192781e+00]
[406.20511694 686.23960004],[5.98269263e+03 1.23747630e+00]
[407.96898406 686.49598051],[5.95477552e+03 1.24025000e+00]
[409.2289334  686.58381901],[5.85188928e+03 1.22253701e+00]
[410.29620844 686.93732196],[5.96149862e+03 1.22376479e+00]
[411.30109555 687.71953526],[6.00271902e+03 1.22440787e+00]
[413.27183154 688.00766416],[6.06440645e+03 1.23435042e+00]
[414.94793163 688.7639146 ],[6.04098428e+03 1.22892232e+00]
[415.51931861 689.03890126],[6.03146499e+03 1.22704275e+00]
[415.6751555  689.12981069],[5.93467768e+03 1.20764489e+00]
[416.66889309 689.48115282],[5.79611838e+03 1.20231318e+00]
[417.98697236 689.93243816],[5.84616285e+03 1.19877731e+00]
[418.43201116 690.42022423],[5.92067645e+03 1.18647606e+00]
[419.54397805 690.92133026],[5.95687171e+03 1.16200991e+00]
[420.91024313 691.42699368],[6.07319377e+03 1.15189603e+00]
[421.70948614 691.60662707],[6.06903760e+03 1.13928101e+00]
[422.29345821 691.98862244],[6.17036004e+03 1.13374455e+00]
[422.80220932 692.44861147],[6.21384451e+03 1.11315598e+00]
[423.28113192 692.28448293],[6.22466453e+03 1.12437414e+00]
[424.08537382 692.53481032],[6.28236796e+03 1.11909858e+00]
[424.6823776 692.6187202],[6.25383116e+03 1.10856987e+00]
[425.20068569 694.28104035],[6.24633146e+03 1.08654007e+00]
[425.35886159 694.90095341],[6.24275568e+03 1.07859021e+00]
[426.38167758 695.12103767],[6.29143567e+03 1.08464176e+00]
[427.39734564 695.84516543],[6.30904103e+03 1.08719743e+00]
[428.07981846 696.10383831],[6.26463849e+03 1.07974309e+00]
[428.30337907 696.18471833],[6.24719549e+03 1.07714960e+00]
[429.01943551 696.52851534],[6.29422299e+03 1.06716758e+00]
[428.92879976 696.64455021],[6.26067401e+03 1.05504836e+00]
[429.19646602 696.67372346],[6.29880233e+03 1.05933848e+00]
[430.26585289 697.65882905],[6.20825738e+03 1.06165975e+00]
[430.64456228 698.34989453],[6.22725895e+03 1.05364734e+00]
[430.76170122 698.59552236],[6.23440090e+03 1.05083137e+00]
[431.1133148  699.00185753],[6.34186298e+03 1.04957623e+00]
[431.55521765 700.12686671],[6.38429402e+03 1.03208868e+00]
[431.70003459 700.86703839],[6.45288035e+03 1.01727094e+00]
[432.06545618 701.45888747],[6.58481148e+03 1.01192781e+00]
[432.18548924 701.66640421],[6.63429997e+03 1.01009625e+00]
[432.54262415 701.7258602 ],[6.59831422e+03 1.00149137e+00]
[432.99101859 702.0584875 ],[6.69080093e+03 9.98531048e-01]
[433.47405713 702.16930775],[6.77901700e+03 1.00563287e+00]
[433.6410575  702.85170287],[6.70228221e+03 1.02486771e+00]
[434.01701633 703.75655416],[6.61800947e+03 1.02436360e+00]
